,Comment
227,awesome
228,this la y is awesome her voice makes my throat hurt but i coul watch her for hours
229,for all people after covi who want their smell back i i exactly what she escribe but went a step further an trie to smell back first smells i use to hate or ma e me want to puke i feel that it trully helpe getting my smell back faster the hate in our brain is a true booster it just triggers something x please let me know if it worke for you too wishing all a spee recovery 3
230,it still blows my min that companies have entire teams eci ing whether or not a flavor is going to appeal to the masses an yet somehow swe ish fish flavore oreos were still greenlit
231,that section of the tongue theory is so funny to me because it s what i was taught as a fact in my high school anatomy class an i was trying to test that out on my own an never coul i woul always taste every flavor no matter where it was in my mouth i have never hear anyone say it wasn t true so it s cool to hear now
232,this woman is unbelievably amazing i want a ph in taste an i want her to be my professor i m a lawyer an after this one vi eo i m prepare to quit an pursue taste
233,what she sai about the packaging affecting the taste is so true i always think elivery pizza smells so goo an it s the pizza in the car boar box that makes it smell amazing just not the same without the box
234,when i was a ki in kin ergarten we i an experiment with that ol fake five flavors taste zones thing an i never got it i coul always taste everything on every part of my tongue i felt vin icate like two eca es later when it came out that that was horsecrap but i cant exactly go rub it in my kin ergarten teachers face can i
235,the amount of people wire gets to interview is amazingall of them has the passion of the kin s of job they r oing i k if job is the right wor to use when ua oing something what u love
236,also the amount of carbonation to syrup isnt set in the so a machines an can be change a so a with more carbonation is a ry so a a restaurant i love woul mix their own rootbeer syrup an you coul ask for it to be a ry or sweet whichever was your preference
237,maybe its because i know shes an au iologist but she annunciates everything beautifully an speaks with an even soun level like she clearly works with the hearing impare to naturally say every soun in a wor to be hear as easily as possible
238,i m so gla she talke about how hearing ai s are more complicate than just a mic an speaker as someone who has ha two of them since i ve been four i ve ha to explain that so many times also having automatic bluetooth ears is super cool
239,my octor also tol me that our ears are selfcleaning but when i pressure her for some offtherecor a vice she finally conce e that if i really really felt the nee to clean insi e my ear canal i coul go ahea an use my elbows i just a ore my octor
240,brilliant wellspoken wellenunciate an a welcoming an animate face great vi eo i learne a lot
241,the way i was hype to to this i was born with hearing loss so i ha to see many au iologist in my life so far people like her ma e my life so much easier her talking about hearing ai s an clearing up misconceptions or even sprea ing knowle ge ma e me smile ear to ear
242,about earplugs at concerts there are a variety of frequencybalance earplugs that protect your hearing while preserving the soun quality of the music eargasm an hearos are a couple of examples i highly recommen them
243,honestly my main take away is that ive been saying tinnitus wrong my whole life
244,love this as someone who previously stu ie to be an au iologist in the past also just love all of the expert answers vi eos on this channel thanks wire an r emily
245,this was super fascinating although the part about the ear rum being able to self repair was the most surprising to me
246,the universal hate for printers is what unites humanity
247,i su enly gaine immense amount of respect for yson after watching this
248,im just shocke an sa ene that theyve ignore the most significant vacuum cleaner a vance the retractable cor
249,you know you ve ma e it in life when you can wear glasses like that with absolute conviction
250,james yson is actually giving really goo a vice here a lot of these types of qas give really generic a vice
251,probably the best interviewanswers so far he leaps off the screen with his eloquent an articulate manner it is very apparent that he is simply a genius
252,this was so entertaining i ha no i ea the person behin yson was a true genuine an passionate inventor an to see him speak so nicely about in epen ent esigners an the unfair problems they face was amazing
253,james yson makes legen ary househol appliances like vacums an hair ryers also james yson loves his cast aluminum pencil sharper the little things in life
254,your vi eos make my weeken it is something perfect that i can watch with my 4yearol what we have lunch an it istracts him because his mom is leaving to work your vi eos honestly are lifesavers thank you
255,858 i got the remarkable as a note takingplanner its has a great esign really lightweight an better than carrying a note book or two subscription epen ing who you are are a hit a miss
256,must a mit that new mx master mechanical keyboar looks an soun s great thinking of getting myself one of them now
257,this man really oes love gun am respect
258,man the gri stu ios is my favorite tech that is efinitely something to get i got it on my christmas list this year i like the remarkable until i see the price tag thats the remarkable part they can get away with selling it for prices that rival apple pro ucts
259,jay ha whole lotta energy on this vi eo
260,as per usual your unboxing vi eos make me happy actually all of them thanks again
261,thank you for the amazon voucher great content as always
262,hey by popular eman i ma e a list of all cool tech un er 50 pro ucts from the last 3 years archive so you can see it all on 1 page
263,my favorite pro uct was efinitely the wireless esk charger hope i can finally win one of these love your vi eos frank keep up the great work
264,on the wireless phone charger i coul see installing it un er the woo in your nightstan s if you have the right kin of furniture for the job also the echo ot stan is super cute efinitely ma e me think of portal turrets too efinitely my favorite
265,love the invisible charger woul efinitely contribute to keeping my clean
266,wow that wireless esk charger is insanely cool i woul love one of those
267,this channel is actually really cool instea of being just a kickstarter compilation these are all actual pro uct reviews going to watch a few more before subscribing but so far extremely goo channel
268,this might be the best episo e of this series ever so many great i eas
269,the charger was my favorite the hi en feature is cool but what i really like is the easy un er the esk installation that also saves space
270,what an awesome vi eo i love to see new affor able pro ucts come out this makes me won er why certain tech evices have such an immense shelf price if more technology can be pro uce at cheaper costs there may be some a vancement in the asking price from many every ayuse evices such as laptops or esktops
271,i love wireless setups an the wireless charger is always a bonus thanks for the best content as always
272,oh imagine when they get those soun wave extinguishers in giant sizes to catch the forest fires real quick the people animals an homes save woul be amazing not to mention the forests as well what a brilliant invention
273,imagine we coul just buy a size sheet of film like a screen protector then place it on any win ow or surface we like such as a mirror bench top or car win screen an then be able to utilise it like a touch screen woul be more practical than buying an expensive mirror
274,it s awesome but what happens to the humans that use to o these jobs
275,i can confirm her squirrel facts i raise an orphane one an it was the sweetest cu liest pet until it almost grown woke up one morning an she acte like a wil animal biting scratching trying to eat my face off it was a sa ay but ive checke wanting a squirrel off my list
276,a ore the collection of people you have answering questions they are so intelligent in their respective subject an superbly passionate love learning more
277,i swear to go every can i have this exotic pet question can just be answere with the wor s o you know what omestication is an how long it takes
278,eclawing cats stop calling it eclawing it has nothing to o with the claws as the vet sai it is amputating the toes cats have claws if you have a problem with claws ont get a cat
279,thank you for a ressing eclawing cats an how awful an hurtful it is to the cat
280,i have a cat who was eclawe by a previous owner he has so many behavioral issues that are typical of eclawe cats he was just at the vet yester ay for litter box issues an the vet brought up the fact that he was eclawe eclawing inflicts lifelong trauma on the animal
281,this woman was born to be a vet you can just tell shes the 1 of kin ergarten girls whos living the ream
282,exotic animals as pets shoul be illegal tigers ont belong in farms sugar gli ers ont belong in apartments sa to see that this happens still
283,if you eci e to brush a cats teeth a fencing mask is highly recommen e
284,i ha a recent fall at work an because i traine myself how to fall off a bike safely i only ha minor bruising on my butt i i a tuck an roll like when i fall off the bike great a vise alex an ollie
285,when i got right hooke a few years ago i only ha time to think this is gonna suck an then procee e to roll a ways on the pavement fortunately i came away with only bruises an roa rash nothing got broken an i think in part it was because i i n t have a chance to put my han s out also gla i was wearing a helmet
286,askgcntech after two years of running tubes i finally went tubeless a couple of months ago i manage to puncture my tyre the other ay sealant i n t o the trick nor i a couple of slugs even trie a patch insi e the tyre the puncture was not on the si ewall an may have been 3mm large given the tire ha plenty of life left i am gutte that i may have to iscar the tire now when woul you come to a ecision that a tubeless tire is ko
287,my last crash 3 yrs ago i was on the groun so fast i ha no time to react or prepare for the impact but the scar from my collar bone repair looks pretty cool
288,another problem with filling tires with water is that the first bump you hit will probably cause the tire to blow off the rim water is incompressible unlike air so it has to go somewhere when the tire volume gets change ue to an impact
289,askgcntech as a heavier ri er i feel i m always in the max range of gears either har est gear on flat sh roa s or my easiest gear when i see any sustaine gra ients i currently run a compact chain set with a 1230 cassette on the rear woul i benefit from upping my chain set to give me more usable gears or woul this just make my climbing problem even worse ue to the worse range at the rear
290,i bought an ol tractor to help clear the lan i was buil ing on stick with me i was towing a large log when i felt the back of my leg getting wet no problem on the front of my trousers thank goo ness turne out that a large sick ha puncture one of the rear tires tyres apparently it was fairly common practice to half fill the rear tyres tires with water to improve traction ue to the a e weight maybe sealant woul be a better i ea expensive though love the show guys
291,having shot canon for 20 years i switche the nikon in 2016 love both bran s but prefere the nikon ergonomics with the ual comman ials rather than the canon metho ology of the 4 buttons on the top plate r5 really improve that but i love the isoless nature of the nikon sensors canon is getting better in that regar but still behin nikon an sony
292,hey marques i know these soun insignificant but since you rarely up ate your little onglesaccessories that you carry aroun an your apps on your home screens i think it woul be interesting to get a little maybe quarterly series where you talk about any changes an what you like to see change simplifie with those work flows just an i ea
293,mkbh im a photographer an use the peak e c v2 im impresse you got a 16 into the 20l im sure its a snug fit an oesnt leave alot of room for a ipa too wante to give you a little tip i foun on that bag here goes the main compartment has a pass through to the top zip area where phones airpo s etc go you just have to fish a cable through the corner i o this by unzipping the si e compartment enough to fish through the cable it makes it so i can leave a pass through usb travel battery charger with fol ing prongs that means i plug in all my evices when theyre in the zip area laptop phone tablet an airpo s an they all get charge from the battery an when i get to the hotel late i just plug one one cable into the wall outlet an i hear all my evices chime in unison that they are now charging neatly in place not only that when theyre one charging the battery starts charging i wake up with everything rea y to go hope you enjoy trying this out
294,woul love to see an e c aily tech for everyone else in the stu io
295,marquess reaction was genuine here he was excite to know as what will come out of his bag next
296,i went to check out the opal camera because i nee a webcam upgra e an it looke pretty legit i love everything i saw on the site up until the point of the 4month fee to use their software on a 300 webcam i think ill just get a capture car for my mirrorless or pick up a logi webcam instea other than that nice tech kit also yeah your experience with the pixel 6 mirrors my past experience with pixel phones i got one to try something ifferent to the iphone an i love it for a few months i trie a few customizations but foun that leaving it stock was generally the best experience for me then it starte unexpecte ly slowing own or apps woul wig out an crash on me out of nowhere or the camera just woul nt or it woul reboot in the mi le of oing something
297,you are carrying great tech an it makes total sense that you are rellying more an more on apple their ecosystem is really goo i am an an roi user an ont stick to just one bran but my wife is allapple an she really likes how seemless everything is cool stuff marques
298,hey marques can you o an up ate the ecosystem explaine i think a lot of viewers woul appreciate a vi eo not only for apple si e of the ecosystem but also an roi seeing as though a lot of new pro ucts are coming out in support for easy use for an roi s love all your vi eos btw
299,i can see that exoskeleton helping people with limite mobility in the future its a marvelous piece of tech thanks for giving us a glimpse of things to come
300,the exoskeleton probably woul n t be affor able for everyone to use an may have long term effects but i think it woul be amazing for rehabilitation an other me ical relate use
301,ive got that azeron keypa highly recommen it for all kin s of applications where quickness is i eal but especially for gaming highly highly you can even fin certain mo els on amazon usually i or ere mine from the factory for the color scheme an one of the newer esigns the one on this vi eo is the original esign which im sure is still just as phenomenal but my fingers twitch ran omly sometimes so having the buttons above the knuckle coul have been a problem
302,the game pa that you highlighte actually is alrea y available i am a right arm amputee an also a big gamer an was consi ering buying it but it s over 200 us an you woul still nee a mouse also i have alrea y become very proficient using a stan ar controller for gaming alrea y an mostly mostly use an xbox controller for my pc so i eci e it wasn t worth it but it s still a very goo esign in my opinion an i woul love to see how it feels to use irl just not at that price point lol
303,cyborg game controller looks pretty neat i am from from latvia an that company makes pretty high en gaming gear expensive too
304,i will forever appreciate this channel youve helpe me an my family a lot your vi eos a vice lessons an funny wor s are inspirational an helpful to us my husban an i have been able to minimal conscious in spen ing saving an investing wisely i now earn every week youre such a blessing to this generation we all love you
305,man to think one ay i might be able to own a ehumi ifier an a battery wow
306,yes the game pa is incre ibly convenient but incre ibly expensive so seemingly lower quality pro uction than its competitors that being sai i woul sure love to have one
307,when someone tells a lie eep own they know this is wrong they have no compassion
308,when you as an employee are fire from a company an the reasons they are giving you are poor performance or lack of culture fit trust me when i tell you the real reasons are not isclose been there one that companies lie hr works for the company an also lies an a corporation hierarchy matters when you lawyer up is when they start taking you a bit more seriously
309,great aily blog you all o a great job picking the most relevant aily hea line to cover such a high level iscussion in such a short clip i watch or listen every ay
310,the market cycle still hasnt met its balance we keep going roun in circles while waiting for that huge blow out on a huge support but in the mean time we coul always ignore the market ups an owns an stay fully investe big thanks to lily alice for helping me earn over 14 btc by implementing her metho an following her gui e
311,all the musk haters who sai he was oing this for laughs are salty rn
312,thank you for this report well one an very helpful
313,most tech companies let things like this sli e all the time
314,karma hit twitter har
315,when it comes to a person journalist slan er up an own when it s a company you say they are allegations
316,once you spen 5 to 10 gran on magic car s you kin a on t wanna pay for them anymore really hits home for me
317,its almost impressive how many ltt employees even with a 5k upgra e have the jankiest setups i have ever seen
318,just a note on the screw river put some exten e bits with it or a smaller precision screw river in the set with it its very common for some screws to be eep in a hole an having those small bits into hex en wont go in far enough own the hole to extract screw i see this allot on laptops controllers that kin a thing sunk in screws suck
319,ltt extreme tech upgra es will never not be absolutely funny an somewhat informative
320,i think one of the things i love the most about these intel extreme upgra es is linus learning an getting angry at his employees for everything about their lives
321,this episo e has me cracking up har love the rabbit hole that nick has gone own with the keyboar mo s respect
322,i love how even linus oesnt want to fit all those har rives in in a such a jank way im with you linus ill o a lot to make things easier but thats a bit too far x
323,i love his space its messy full of things that he coul throw away if he really went through it all but its a catalog of an container for life as hes living it rather than just a show piece
324,after seeing the macro pa i was checking out their website an love all their pro ucts ive wante a pro uct like this for when i stream to make it easier an this here is just what i nee its a great pro uct an i love it for my setup
325,very surprise with this months list consi ering how every single item in the list feels like it coul go with my setup or just seems super cool to me usually theres one or two items that i ont think i personally fin useful but i am 100 a ing all these items to my wishlist
326,i absolutely love the hoto laser measuring tool as an engineering stu ent i am constantly measuring objects an like using various rulers i woul love to own one of these hoto laser measuring tools for sure also this months list particularly caught my eye as everything liste seems like something i woul want to purchase in the near future
327,so many great pro ucts on this list these are all incre ibly practical too especially the macropa the abililty to customize literally every aspect of it is killer
328,the hoto laser was a pretty goo change of pace love it feels very complementary to the theme of office ga gets keep em coming i eas specific un er esk rawers an other more furniture alike stuff that will make your setup noice
329,just iscovere your channel an the series going to be watching your ol er ones to ay while working that macro pa is really cool that woul efinitely be something i pick up an use
330,that macropa looks killer been looking for a segue into custom keyboar s for a while an that seems like a great place to start looks like it woul be incre ibly useful for both work an personal applications too which is a huge plus woul love to have one in the near future
331,i ve actually been looking for macro pa s recently an you just uploa the very thing i nee e i love that you can customize it to fit your aesthetic truly a must have for any setup
332,that macropa looks so love the customisation of it all
333,arun this pro uct kille over a hun re people also arun 7 out of 10
334,arun this pro uct estroye the entirety of earth also arun 6 out of 10 fail
335,man i seriously love this series an the fact that you buy these faile pro ucts steps thing up a notch
336,great to see you inclu ing a wi er variety of stuff in these vi eos beyon just electronic evices especially the pharmaceutical in ustry if youre going to inclu e banne me ications then the top of the list in your next vi eo shoul be thali omi e what it i was absolutely tragic it was banne eca es ago yet people are still suffering an living with severe isabilities to this ay thousan s of families estroye an lives lost too
337,this is such a goo vi eo arun the amount of research locations an e iting that this vi eo nee e is enormous thank you for oing this
338,arun looks so fit now im gla to see him taking care of himself too
339,there was also another problem with the fitbit when some of the straps woul irritate your skin an leave a rash an still the company hasnt ealt with it yet
340,1035 this is a common misconception while part of the reason was the battery being too thin the main issue was a manufacturing efect in the corner of most of the batteries at launch which was a tiny ent in the top left corner this woul cause the battery to eventually short out as the ent cause both terminals to eventually touch each other most peoples phones were explo ing while fast charging which was likely ue to the increase power going through the battery an lithiumion batteries o not take well to being shorte out like that e it normally efects of that scale woul be perfectly fine an woul never cause issues but they ma e the battery too thin meaning it shorte it out easier just wante to clarify that
341,i now know i like this guy i at first thought i ha some type of preju icial islike of him maybe because he was too smooth an that goes against my grain but i love this guy because he oes seem to care about things an many of them seem not to be regar ing how much money he can make off of a a for a person it seems as his reviews are sincere an these seem not to have to o with what ive seen only from him which is technology i really love the fact that this guy cares about peoples safety an he brings up some safety issues which people shoul be concerne about if they have chil ren especially with the toys an the baby monitors yeah this guy is getting a big a from me
342,im hoping this vi eo will blow you away so much work has gone into it an so many people have been fe because of it to check out the tiniest tech
343,i really appreciate this shaq episo e an the effort that went into making it normal looking things scale up seems much like mrbeast kin a thing think u got inspire by him i have seen the giant toblerone before in sorte the incre ible cooking channel has shown the chocolate bar in their occasion base pretentious pro uct series it cost may be 70 poun sbut what u showe is probably bigger than sorte oneits actually cool an it is my favourite chocolate bar too
344,those earbu s are actually pretty cool ecorate it somewhere goo an it act like goo speakers
345,i actually have a mousemat that came with my esk thats larger than the one you have its specifically esigne to cover the entire surface of the 55 inch esk since its a esk built for gaming
346,wow i never seen technology that big before
347,i have so much respect for you fee ing the homeless with the cake
348,if gaiman eci es to start a youtube channel to talk about myths an history i woul efinitely watch that
349,i know this isnt entirely uncommon with authors but ive always love how much neil gaiman feels like a neil gaiman character
350,you know it s gonna be great when he says unless it s a furry minotaur an then specifie that this is going to be great
351,its nice to see mr gaiman talk about eath as being kin his frien an occasional coauthor terry pratchett wrote about eath in the same way
352,i love hearing neil speak an explain things he s such a character
353,i have been in love with mr gaiman for eca es an i coul nt click on this vi eo fast enough major thanks to wire for this vi eo an major thanks to mr gaiman for oing this for all us fans who cant get enough of him
354,i love how he sings his wor s ragnarok essennntially beginnnnnnns with everything going wrong
355,you can tell hes serious about his craft but not obnoxious about it the best you can hope for
356,hes really respectful of people enjoying sushi ifferently class act
357,nothing shoul look sa it shoul look bright goo to know when the aliens come own looking for human sashimi they wont be coming after me
358,you can tell he smiles all the time he just has a happy atmosphere
359,i love how positive this guy is never says a ba wor about anyone ma e me feel like im not stupi even when hes ispelling my wil ly inaccurate preconceptions
360,as long as people un erstan that this is not tra itional chefs have the creative free om to o whatever they want pitty so many prefer to gatekeep stuff an belittle others who merely o things ifferently respect to taka sakae a what a lovely person
361,i am so gla i got to see a sushi chef refer to sushi as finger foo i am tire of the snobs looking at me weir every time i eci e to just pick up a piece an eat it
362,really appreciate you taking the time an effort of putting it out there look forwar to watching more of your great content in the past two years assets like gol 7 nas aq 19 an sp 29 have all lagge behin the us monetary inflation rate m2 money supply is up 36 while bitcoin has appreciate 229 uring the same perio my stock portfolio over the last 2 years is massively own against my bitcoin using thomas fuller strategy in my view bitcoin has been one of the best hol s uring this uncertain market my bitcoin portfolio have been on a rise although the rates are capricious wiping out some of my profits i still have about 914 btc worth of crypto assets i can take a rop own to 20k an still be oing better than my stock portfolio ive stoppe buying most stocks im caing into bitcoin an im hoar ing cash that will go entirely into bitcoin if theres another goo rop
363,the recor ill love to break is becoming the first millionaire in my family history ive rea about people coming from the irt to making over 2millions in few years an i love to know how to buil wealth an amass goo profit against all o s
364,last week they sai to sell it all now they say buy gla i never listen to these frau s
365,can efinitely vouch for the switch grip i use to never play han hel mo e because of how uncomfortable it was now i o it all the time with the grip
366,u e that battery swap alone woul sell me over the sony h9 steelseries hit it har with that feature i wish more peripherals ha that ability
367,its a great month for tech with a lot of cool an reliable pro ucts love em all
368,i gotta a mit that steelseries hea set is next level also the switch grip being un er 20 is a steal
369,the oivo grip is amazing have one for my v2 switch as well
370,the music in the backgroun is just a classic for this channel love it
371,best part about the novas is being able to use the switch with it since it has bt i go from pc play some ps5 then go off the gri with the switch all on one hea set it s amazing
372,when we move to home working i got the logitech mx master 3 it s been great as an all roun mouse i miss my setup when i have to go back i to the office lol although i coul just take my mouse with me
373,i love this series the experts are not ju gemental an very professional
374,for those who are curious not only is it wi ely accepte that an asteroi wipe out the inosaurs but we also know exactly where the asteroi lan e its calle the chicxulub crater its locate on the northern coast of the yucatan peninsula an has been carbon ate to have forme in that time perio an it size of the crater certainly looks catastrophic enough
375,such innocence when he rea s go sti ies he is a orable
376,i woul absolutely love to atten a paleontology course that guy was running his enthusiasm is infectious
377,the way he factually states the worl is a sphere makes you feel like hes hear even weir er statements before an this is just another misconception he corrects
378,since when were ptero actyls not inosaurs since ever that is probably one of the greatest answers
379,hearing this guy stay professional while rea ing the username go sti ies was the highlight of my ay
380,that was cool i like that he sai jurassic park was for entertainment not science i often hear people complaining that things like jurassic park arent scientifically accurate who cares i watch that kin of stuff to be entertaine if i want to learn something ill watch a ocumentary which i also o
381,the fact that bir s are technically inosaurs is a fact that woul have blown my min as a ki which is why i try to bring it up with ki s as often as i can growing up plesiosaurus was my favorite inosaur although it s technically not a inosaur my other favorites are maiasaura an parasaurolophus
382,you can always tell when someone enjoys their job he is so enthusiastic an knowle geable about inosaurs what a great series
383,the biggest problem is colleges charging outrages tuition fees causing this to happen
384,so everyone who coul n t affor college will have to pay for those who i why not make college affor able in the first place
385,now we nee to cap these institutions no more pre atory pricing honestly these collegesuniversities shoul be paying back people the interest as well those who have an have not pai off their loans last 30 years inclu e
386,regulate college tuition so that this oesn t happen again please otherwise this will be pointless
387,when colleges knew about this watch them charge more tuition then you will know why college is expensive in the first place
388,he nee s to fin a way to get schools to lower their tuition rates an quit trying to game a broken stu ent loan system this will just keep happening an its not going to stop i ealistic young people from taking out massive ebt on a useless egree the schools nee to be regulate if they take govt fun s then they shoul be subject to imme iate regulation
389,the states eregulate tuition an fees so the colleges coul charge more then they use that money to hire more a ministrators an buil more buil ings the stu ents are not just paying for their e ucation they are also paying for all the things the colleges wante but the states i not want to give them money for nobo y talks about that
390,there is no such thing as loan cancellation its merely a transfer o people not un erstan how this works
391,im trying to hol onto hope an positivity for new york state but every year it gets har er an har er
392,na ler shoul nt be allowe to rive much less wiel power
393,funny how emocrats always choose the ol white man lol
394,a population of mass psychosis
395,nyof course ems i well
396,it never matter how win the question is is the state is any better un er either politicians all politicians are very corrupt
397,ny emocrats never cease to amaze me picking the absolute worst representatives possible thanks jim eagle
398,i feel for civilians that just want to live a peaceful normal life in ukraine
399,to be clear its not allege war crimes they have trie an convicte people for them alrea y so yes war crimes are being committe in ukraine just because you ont like saying it oesnt change that its actually happening to the people it affects
400,i whole hearte ly agree with the guy from nato who was saying that europe an the us will pay a high price this winter for supporting ukraine this winter but not supporting them will cost us even more the biggest threat to ukraine right now is that the rest of us will lose interest an aban on them ukraine nee s to get all their territory back or russia is just going to eat them in bites an then they will move to the next nation that they want to a back to the soviet union
401,happy in epen ence ay to ukraine an glory the reason why i support ukraine because i m human an i support human rights an if ukraine surren ers there will be no more ukraine an it won t save lives it will only en up in a brutal occupation like bucha irpin an mariupol massacre the main goal of russia is that they want to estroy ukraine as a nation just like rome estroye carthage russians on t treat ukrainians as people
402,putin is the greatest gift to nato since the en of the col war now thats funny
403,happy in epen ence ay ukrainian people
404,what an excellent piece very goo questions an thoughtful answers efinitive pre ictions of course not events in war are har to pre ict thank you for a very useful piece
405,thank you very much for your analytical comments an pre ictions on the war in the ucraine as such more vital weapons supply nato expan ing with finlan an swe en to face putins war agression an threats an moral worl wi e support growing for a emocratic an free ucraine as it can aily be seen
406,o you remember what happens when we give unaccounte money an weapons to countries to fight proxy wars we keep making the same mistakes over an over
407,victory is assure if we receive 100000000000 this time
408,notice how the guy calling in keeps saying we in regar s to ukraine weir
409,glory to our knights in shining armour the swor an shiel of emocracy ukraine
410,our government shoul be hel accountable for the pointless expense on this war they alrea y have genoci al turkey helping them an they will still lose at the en all this money coul have gone to peoplegovernment took 6 months with vacations to sen us measly imes uring covi but billions they sen at a whim
411,i hate to say it but i on t think the ukrainians are going to be able to counter attack remember ukraine uses 5000 artillery shells a ay russia on the other han is using 500000 shells a ay russia has the most tanks in worl there isn t a shortage of there wasn t a shortage then how come luhansk has fallen let s not get ahol of ourselves
412,sa akur incoming when he can t eliver the sheer overconfi ence they project as un er ogs is off putting not in touch with reality
413,russia is being beaten at highspee attrition warfare it is alarming how russia is throwing away its best lives an equipment victory to ukraine
414,always remember this you cant operate an army without supply trucks also fuel trucks estroy or capture all russian trucks 1 are they armore no 2 o they have heavy weapons on them no 3 is a army truck river a high skille sol ier no 4 puncture truck tires or amage the engines
415,happy in epen ence ay ukrainians
416,to be goo at something you got to be oing it all the time why o you think the americans are so goo at war
417,happy in epen ence ay to ukraine an glory the reason why i support ukraine because i m human an i support human rights an if ukraine surren ers there will be no more ukraine an it won t save lives it will only en up in a brutal occupation like bucha irpin an mariupol massacre the main goal of russia is that they want to estroy ukraine as a nation just like rome estroye carthage russians on t treat ukrainians as people
418,as a former combat planner in vietnam i agree with general ho ges putins attrition strategy is not well thought out firstly they ont have the right equipment manpower or time ukraine has all of that except for equipment in sufficient quantities over time the wests resources will help ukraine fill that gap
419,europe is forever in ebt for the bravery of ukraine hopefully russia shall pay to rebuil ukraina slava
420,i feel like i m in a simulation at this point
421,i got 25 secon s in an alrea y call bullsht i pause the vi eo to comment but starte rea ing other comments i was amaze because every comment shows is ain for our me ia inclu ing cbs news smh cause me to forget my original an now meaningless thought
422,i am so rea y for the future together in faith expose the ocuments 818
423,is he just hi ing ocuments in oughnut boxes im so confuse
424,being a politician shoul not be a career choice term limits for everyone
425,seeing young ki s behin him cheering is just insane
426,term limits is a must tire of these crooke cryptic politicians retire
427,i love how new yorkers put pri e over common sense as if there were anything to be prou of they eserve exactly all the things are going through
428,wow you woul think new yorkers woul learn incre ible
429,whats shocking is how many people like this guy pretty isgusting
430,hes more etache from the people he represents then any representative in us history
431,all of this oes nothing to correct the problem of high college tuition schools will continue to leverage off government loans an at the same time increase tuition to pay for their exorbitant pensions the cycle continues
432,i i nt realize up to 250k per family is consi er low income people making way less than that will be paying for his forgiveness plan this a ministration is insane
433,everyone knows money oesnt mean anything anymore unless you have some the govt can take
434,i ll believe it when i see my cre it report
435,yes perfect i took out loans just in case he woul cancel i coul have pai for school but i investe it instea best ecision
436,as far as the weather this is absolutely crazy what is going on my eepest thoughts an prayers are with everyone across the globe who is in a anger zone an experiencing such har ships
437,thoughts an prayers to all of usa in waters stay safe from the typhoon belt in the pacific las islas filipinas
438,i ont care how many cops there they are not going in to protect ussoooo sa
439,it s either floo s roughts or wil fires actually it s all of them simultaneously 2030 years from now we might actually start to think seriously about re ucing emissions but i oubt it
440,thank you nbc more americans get their news now from nbc then any other source believe that
441,love the pilots to the rescue story great job folks
442,which means the taxpayers will have to foot the bill
443,going to be a lot of people upset when they realize what this oes to the economy
444,bi en hey i can help you lose 5 poun s in 5 secon without exercise take out machete an cuts right arm off bi en there you re welcome ont forget to vote for me in november
445,so people who pai their ebt off just as people who immigrate to usa legally are slappe in the face by people who cannot or will not pay their ebt
446,forgiveness means the ebt goes away never to be seen nor hear of again this is robbing peter to pay paul
447,this a ministration is starting to remin me of a time in history calle the taxation without representation taxes taxes taxes bi en an harris
448,thats so weir hes been screaming he wante transparency the whole time an now he oesnt want anybo y to look at the ocuments he stole
449,first the ocuments weren t there then the ocuments were plante an now he wants to ban them what a joke
450,simple as this these ocuments o not belong to him an never i eman ing they be returne when they shoul n t have been in his home in the first place is lu icrous
451,trumps a mo ern ay obstructionist especially about things an issues that can convict him
452,so first he never ha it then the cult crie plante ocuments now he i have it but thinks it s his you can t make this stuff upin ict in ict in ict an in ict
453,this vi eo is not for chil ren its shocking alltimeml mr unn respect to you
454,one asinine move after another from the trump team concerning the searchan seizure i guess trump i nt get the memo that he no longer has enablers in congress or at the oj to bail him out
455,how can reporting on this be so ba the presi ent has the authority to eclassifie ocuments not a single one of those ocuments is classifie o better
456,only trump woul call a search warrant unwarrante
457,these people spen ing all this time an money to try to fin irt on trump is getting ol
458,allege ly they say this to avoi being sue learn how wor s work
459,if he was up to something he woul have eclassifie them when he ha the power this is as stupi as the ones getting tickle about this rai
460,they really just ont want him to rerun for presi encyhes not in the club
461,here s one for ya if they were so important an they i know about this since he left office why wait 1 12 years to get the warrant especially in an election year min blown stop being sheep
462,cosatu is trying to manipulate the people of south africacyril sai before the prices rosehe sai he iscusse that with stake hol ers an labour unionswhy cosatu an saftu are marching now oes this means they are not satisfie with the cost of living or they want to see how many south africans reacts
463,shluggishness to start the protest that coul be a problem in our work environment as well lets try to be more in time for work an work with greater vigour to make this a nicer country to live in
464,every year uring the month of june an august they is a reason for people to lose jobs these unions are getting pai for this isor er
465,i thought foreigners are the ones earning below
466,but all of you are the same people that wante a new south africa why you complaining when you got a new south africa
467,nelspruit strikeshut own in july was much better n ra ical
468,when u are unhappy with the current situation u ont further estroy whats left of the economy but u can cut ties with the anc an put your hat in the ring in 2024 its as simple as that
469,our legal system is broken loopholes exist that allow the wealthy to avoi the sort of jail time that woul have been inflicte on someone who cant affor elite lawyer representation i get sick of it but im not sure what a challenge to the status quo woul look like
470,how long will we allow this clown to continue thses chara e its embarrassing to the nation an emocracy no one else woul even come close to being tolerate
471,it is impossible to simply walk off with these ocuments an keep them in or er to o that you have to purposely want to take them away i cant un erstan it mick mulvaney
472,first he wante it out now he on t so typical of him
473,our greatest concern is that bi en remains in office for another five minutes
